Location,Value,Technical Description,X-Column,Y-Column,Rotation
R64,RES-0603,"3.3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R66,2512,"0.51 Ohm, 1 %, Thick Film, 100 ppm/K, SMD, 2512",2,Bottom,0
R67,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R68,RES-0603,"2.4 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R69,RES-0603,"5.6 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R7,RES-0603,"15 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R70,RES-0603,"7.5 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R71,RES-0603,"3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R72,RES-0603,"5.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R73,RES-0603,"8.2 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R74,RES-0603,"330 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R75,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R76,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R77,RES-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R78,RES-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R79,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R8,RES-0603,"68 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R80,RES-0603,"18 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R81,RES-0603,"430 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R82,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R83,RES-0603,"100 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R84,1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",2,Bottom,180
R85,1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",2,Bottom,180
R86,1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",2,Bottom,180
