PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
R-0603-1%-MF-1K8	C91	0805-CAP	2	Bottom	180	4092,929	1876,312	Yes	No
R-0603-1%-MF-24K	C92	0805-CAP	2	Bottom	0	3481,621	1731,622	Yes	No
R-0603-1%-MF-10K	C93	0805-CAP	2	Bottom	90	3533	2226,893	Yes	No
R1206-560K-100PM	C94	CAP-0603	2	Bottom	180	3860	1540	Yes	No
R1206-560K-100PM	C95	CAP-0603	2	Bottom	270	3624,5	1736,5	Yes	No
R-0603-1%-MF-820K	C96	CAP-0603	2	Bottom	270	3402	1848,7	Yes	No
R-0603-1%-MF-330E	C97	CAP-0603	2	Bottom	90	3305	2002,36	Yes	No
R1206-560K-100PM	C98	CAP-0603	2	Bottom	90	3456	2002,31	Yes	No
R-1206-1%-MF-56E	C99	CAP-0603	2	Bottom	270	3380	2002,36	Yes	No
R1206-560K-100PM	C100	CAP-0603	2	Bottom	270	3261,417	1588,189	Yes	No
R-0603-1%-MF-1K2	C101	CAP-0603	2	Bottom	0	3367,6	1553,7	Yes	No
R-0603-1%-MF-1K0	C102	CAP-0603	2	Bottom	180	3368,2	1627,3	Yes	No
R-0603-1%-MF-1K8	C104	CAP1000UP	2	Bottom	270	3279,65	218	No	Yes
R-0603-1%-MF-10K	C105	0805-CAP	2	Bottom	270	2090,551	687,008	Yes	No
R-0603-1%-MF-10K	C106	CAP-0603	2	Bottom	90	2877,165	1274,803	Yes	No
R-0603-1%-MF-1K2	C107	CAP-0603	2	Bottom	270	2976,063	280,433	Yes	No
R-5W-5%-WW-150E	C108	CAP-0603	2	Bottom	90	2955,512	1274,803	Yes	No
R-2W-5%-WW-100E	CA1	SIL-C4-SMD	8	Bottom	0	4005,906	621,26	Yes	No
R-2W-5%-MF-PWR-82K	CLEAR_DOWN	TEST-POINT-ICT-TH	1	Top	0	3393	1323,879	No	No
R-0603-1%-MF-1K2	D1	SOT23A	3	Bottom	90	3192,24	365,64	Yes	No
R-0603-1%-MF-10K	D2	SOT23	3	Bottom	90	1855,945	879,803	Yes	No
R-1206-1%-MF-56E	D3	SOT23_BAT54S	3	Bottom	0	3625,372	2763,654	Yes	No
R-0603-1%-MF-330E	D4	SOD-123	2	Bottom	0	1740,157	1340,551	Yes	No
R-0603-1%-MF-680K	D5	SOD-123	2	Bottom	270	2244,094	1433,071	Yes	No
R-0603-1%-MF-1K2	D6	SOT23_BAT54S	3	Bottom	270	2097,507	2175	Yes	No
R-0603-1%-MF-10K	D7	MELF-5X2.5	2	Bottom	0	1013,78	1406,693	Yes	No
R-0603-1%-MF-4K7	D8	SOT23_BAT54S	3	Bottom	180	2038,976	114,567	Yes	No
R-0603-1%-MF-680K	D9	SOT23	3	Bottom	0	2319,961	151,732	Yes	No
R-0603-1%-MF-270E	D10	SOT23A	3	Bottom	180	2773,36	299,633	Yes	No
R-1206-1%-MF-56E	D11	SOT23A	3	Bottom	180	2319,961	331,929	Yes	No
R-0603-1%-MF-1K2	D12	SOT23_BAT54S	3	Bottom	0	2593,6	883,1	Yes	No
RP-SMD-8P-ISO-4X430E	D13	MELF-5X2.5	2	Bottom	0	925,197	1937,008	Yes	No
RP-SMD-8P-ISO-4X27K	D14	MELF-5X2.5	2	Bottom	270	850,394	1712,598	Yes	No
SP-SPARK-GAP-2	D15	DO-214AC_SMA	2	Bottom	270	2600	2223,228	Yes	No
T-MURATA-10MH	D16	DO-214AC_SMA	2	Bottom	270	2592,52	2626,378	Yes	No
